# FieldName,FieldRA,FieldDec,Telscope,Filter,ExpTime,Priority,Status
S008ABE0199,05:44:48.02,-30:40:06.80,SWOPE,r,300.0,0.0008634317031794113,False
S008ABE0200,06:05:25.37,-29:40:29.36,SWOPE,r,300.0,0.0008621940366379343,False
S008ABE0201,05:51:24.36,-36:08:02.72,SWOPE,r,300.0,0.0008621217845255662,False
S008ABE0202,06:13:09.19,-34:38:36.56,SWOPE,r,300.0,0.0008607383861109589,False
S008ABE0203,06:03:02.80,-28:11:03.20,SWOPE,r,300.0,0.0008421693991189582,False
S008ABE0204,05:47:16.93,-28:40:51.92,SWOPE,r,300.0,0.0008222201115633159,False
S008ABE0205,05:56:18.52,-26:11:48.32,SWOPE,r,300.0,0.0008142436281612484,False
S008ABE0206,05:47:14.33,-29:10:40.64,SWOPE,r,300.0,0.0008044409672671182,False
S008ABE0207,05:54:04.37,-27:41:14.48,SWOPE,r,300.0,0.0008025189450601518,False
S008ABE0208,05:49:36.08,-27:41:14.48,SWOPE,r,300.0,0.0007849428176652609,False
S008ABE0209,05:49:43.04,-25:41:59.60,SWOPE,r,300.0,0.0007819605828353474,False
S008ABE0210,05:45:16.61,-26:11:48.32,SWOPE,r,300.0,0.0007677007012535514,False
S008ABE0211,05:44:25.05,-33:38:59.12,SWOPE,r,300.0,0.0007632930967485312,False
S008ABE0212,05:44:51.52,-30:10:18.08,SWOPE,r,300.0,0.000742341010059571,False
S008ABE0213,05:46:33.89,-35:38:14.00,SWOPE,r,300.0,0.0007388762914396718,False
S008ABE0214,05:56:18.52,-38:07:17.60,SWOPE,r,300.0,0.0007372133860718646,False
S008ABE0215,06:07:42.09,-29:40:29.36,SWOPE,r,300.0,0.0007323904584465337,False
S008ABE0216,05:42:21.18,-31:39:44.24,SWOPE,r,300.0,0.0007305586588921576,False
S008ABE0217,06:00:46.80,-27:41:14.48,SWOPE,r,300.0,0.000717985537726113,False
S008ABE0218,06:06:18.41,-37:37:28.88,SWOPE,r,300.0,0.0007157337437597983,False
S008ABE0219,05:49:44.67,-25:12:10.88,SWOPE,r,300.0,0.0007114750819273226,False
S008ABE0220,06:07:45.51,-30:10:18.08,SWOPE,r,300.0,0.0007014276522037215,False
S008ABE0221,06:16:10.39,-37:07:40.16,SWOPE,r,300.0,0.0006983527777597697,False
